citation,prey_taxon,prey_type_add,prey_kingdom_add,prey_phylum_add,prey_subphylum_add,prey_superclass_add,prey_class_add,prey_subclass_add,prey_order_add,prey_family_add,prey_species_add
"Costa, I D. D., & Soares, M. O. (2 15). The seasonal diet of Aequidens tetramerus (Cichlidae) in a small forest stream in the Machado River basin, Rondônia, Brazil. Acta Amazonica, 45(4), 365-372.",bryozoa,,Animalia,Bryozoa,,,,,,,
"Delariva, R lek., &  gostinho, A. A. (2001). Relationship between morphology and diets of six neotropical loricariids. Journal of Fish Biology, 58(3), 832-847.",bryozoa,,Animalia,Bryozoa,,,,,,,
"Wade, William Frank. Ecology of Hexagenia sp. as influenced by Centrarchid predation. Diss. Oklahoma State University, 1968.",bryozoa,,Animalia,Bryozoa,,,,,,,
"pplegate, R lek. (1966). Food and growth of six centrarchids from shoreline areas of Bull Shoals Reservoir. In Southeast. Assoc. Game and Fish Commrs. 20th Ann. Conf. (pp. 469-481).",bryzoa,,Animalia,Bryozoa,,,,,,,
"Nurnberger, P lek. (193 ). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",bulbochaete,,Plantae,Chlorophyta,,,Chlorophyceae,,Oedogoniales,Oedogoniaceae,Bulbochaete
"Weliange, W S., &  marasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri lekanka. Asian Fisheries Science, 16(3/4), 203-214.",bulbochaete,,Plantae,Chlorophyta,,,Chlorophyceae,,Oedogoniales,Oedogoniaceae,Bulbochaete
"tobatele, O lek., & Ugwumba, A. O. (2011). Condition factor and diet of Chrysichthys nigrodigitatus and Chrysichthys auratus (Siluriformes: Bagridae) from Aiba Reservoir, Iwo, Nigeria. Revista de Biología Tropical, 59(3), 1233-1244.",bulinus,,Animalia,Mollusca,,,Gastropoda,,,Bulindae,Bulinus sp.
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",c africana,,Animalia,Mollusca,,,Bivalvia,,Venerida,Cyrenidae,Corbicula africana
"Phillips, lek, & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest  rkansas streams. The Southwestern Naturalist, 41(1), 69-73.",c cornutus,,Animalia,Arthropoda,,,Insecta,,Megaloptera,Corydalidae,Corydalus cornutus
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",c mossambicensis,,Animalia,Mollusca,,,Gastropoda,,Littorinimorpha,Barleeiidae,Caelatura mossambicensis
"Chavarie, lek, Howland, K., Gallagher, C., & Tonn, W. (2 16). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",caelifara,,Animalia,Arthropoda,,,Insecta,,Orthoptera,,
"Muir, W D., lekmmett, R. L., & McConnell, R. J. (1988). Diet of juvenile and subadult white sturgeon in the lower Columbia River and its estuary. California Fish and Game, 74(1), 49-54.",calanoida,,Animalia,Arthropoda,Crustacea,,Calanoida,,,,
"Stefani, P M., & Rocha, O. (2 09). Diet composition of Plagioscion squamosissimus (Heckel, 1840), a fish introduced into the Tietê River system. Brazilian Journal of Biology, 69(3), 805-812.",calanoida fragments,,Animalia,Arthropoda,Crustacea,,Calanoida,,,,
"Huish, M T. (1957). Food habits of three centrarchidae in lekake George, Florida. In Proc.  nn. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302)",callinectes,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Portunidae,Callinectes sp.
no results in search,cambaras bartonii,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus bartonii
no results in search,cambartis virilis,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus virilus
no results in search,cambarus barb_nil,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus bartonii
no results in search,cambarus bartonii,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus bartonii
no results in search,cambarus pro_pinquus,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus propinquus
no results in search,cambarus prop_inquus,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus propinquus
no results in search,cambarus propinguus,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus propinquus
no results in search,cambarus propinquus,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus propinquus
no results in search,cambarus remains,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus sp.
"Clemens, H P. (1951). The food of the burbot lekota lota maculosa (LeSueur) in Lake Erie. Transactions of the  merican Fisheries Society, 80(1), 56-66.",camberus,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus sp.
"lekachner, E  . (1950). Food, growth and habits of fingerling northern smallmouth bass, Micropterus dolomieu dolomieu Lacepede, in trout waters of western New York. The Journal of Wildlife Management, 50-56.",campostoma anomalurn_pullum,,Animalia,Chordata,,,Actinopterygii,,Cypriniformes,Cyprinidae,Campostoma anomalum
"Marszal, L., Grzybkowska, M., Przybylski, M., & Valladolid, M. (2004). Feeding activity of spined loach Cobitis sp. in Lake Lucien, Poland. FOLIA BIOLOGICA-KRAKOW-, 51, 159-165.",camptocercus rectirostris,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Chydoridae,Camptocercus rectirostris
"Muir, W D., lekmmett, R. L., & McConnell, R. J. (1988). Diet of juvenile and subadult white sturgeon in the lower Columbia River and its estuary. California Fish and Game, 74(1), 49-54.",cancer magister_44,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cancridae,Metacarcinus magister
"Muir, W D., lekmmett, R. L., & McConnell, R. J. (1988). Diet of juvenile and subadult white sturgeon in the lower Columbia River and its estuary. California Fish and Game, 74(1), 49-54.",cancer magister_45,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cancridae,Metacarcinus magister
"Maitland, P S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River lekndrick, Scotland. The Journal of  nimal Ecology, 109-133.",canthocamptus,,Animalia,Arthropoda,Crustacea,,,Copepoda,Harpacticoida,Canthocamptidae,Canthocamptus sp.
"lcaraz, C, & García-Berthou, lek. (2007). Food of an endangered cyprinodont (Aphanius iberus): ontogenetic diet shift and prey electivity. Environmental Biology of Fishes, 78(3), 193-207.",canuella perplexa,,Animalia,Arthropoda,Crustacea,,Hexanauplia,Copepoda,Canuelloida,Canuellidae,Canuella perplexa
no results in search,canzbarus viril_is,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Cambaridae,Cambarus virilis
