prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin
unidentifed fish,unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
unidentifed diptera,unknown,Animalia,Insecta,Diptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed cypriniformes,unknown,Animalia,Actinopterygii,Cypriniformes,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
unidentifed crustaceans,unknown,Animalia,NA,NA,NA,NA,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
unidentifed coleoptera,unknown,Animalia,Insecta,Coleoptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifed cichlidae,unknown,Animalia,Actinopterygii,Cichliformes,Cichlidae,NA,NA,Chordata,NA,NA,NA,NA,aquatic
unidentifed araneae,unknown,Animalia,Arachnida,Araneae,NA,NA,NA,NA,NA,NA,NA,NA,terrestrial
unidentifed,unknown,Metazoa,Clitellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
"Unidentifable
fshremains",unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
unidentifable insects,unknown,Animalia,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifable fsh_tissue,unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
unident insects,unknown,Animalia,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidenfied_plant,unknown,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
Unid. Insects,unknown,Animalia,Insecta,NA,NA,NA,Insecta,NA,NA,NA,NA,NA,aquatic or terrestrial
Unid. Fishes,unknown,Animalia,Actinopterygii,NA,NA,NA,Actinopterygii,NA,NA,NA,NA,NA,aquatic
unid ostracoda,unknown,Animalia,Ostracoda,NA,NA,NA,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
unid hymenoptera_adult,adults,Animalia,Insecta,Hymenoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unid crustacea,unknown,Animalia,NA,NA,NA,NA,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
unid acari,unknown,Animalia,Arachnida,NA,NA,NA,NA,Arthropoda,NA,Acari,NA,NA,aquatic
unicellular algae,unknown,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
Undigestible  debris,unknown,Metazoa,Clitellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
undetermined_copepods,unknown,Animalia,Maxillopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_70_<U+00B5>m_80_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_50_60_<U+00B5>m_75_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_50_<U+00B5>m_60_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_40_50_<U+00B5>m_200_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_30_<U+00B5>m_100_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_25_<U+00B5>m_5_10_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_20_<U+00B5>m_30_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_20_<U+00B5>m_20_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_120_<U+00B5>m_100_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_100_<U+00B5>m_200_300_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
unbranched_filamentous_algae_10_<U+00B5>m_50_m,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
ulvophyceae,unknown,Plantae,Ulvophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
ulothrix_sp,unknown,Viridiplantae,Ulvophyceae,Ulotrichales,Ulotrichaceae,NA,NA,Chlorophyta,NA,NA,NA,NA,aquatic
ulothrix sp,unknown,Plantae,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix sp.,NA,Chlorophyta,NA,NA,NA,NA,aquatic
uknown oligochaeta,unknown,Animalia,Clitellata,NA,NA,NA,NA,Annelida,NA,Oligochaeta,NA,NA,aquatic or terrestrial
u pygmaea,unknown,Animalia,Actinopterygii,Esociformes,Umbridae,Umbra pygmaea,NA,Chordata,Osteichthyes,NA,NA,NA,aquatic
turtle,unknown,Animalia,Reptilia,Testudines,NA,NA,NA,Chordata,NA,NA,NA,NA,aquatic
turbellaria,unknown,Animalia,Turbellaria,NA,NA,NA,NA,Platyhelminthes,NA,NA,NA,NA,aquatic or terrestrial
tubificidae,unknown,Animalia,Clitellata,NA,Tubificidae,NA,NA,Annelida,NA,NA,NA,NA,aquatic
tubifex,unknown,Animalia,Clitellata,Oligochaeta,Naididae,Tubifex sp.,NA,Annelida,NA,NA,NA,NA,aquatic
ttichoptera_larvae,larvae,Animalia,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
tryphoninae,unknown,Animalia,Insecta,Hymenoptera,Ichneumonidae,NA,NA,Arthropoda,NA,NA,NA,NA,terrestrial
triplectides obsolete,unknown,Animalia,Insecta,Trichoptera,Leptoceridae,Triplctides obsolete,NA,Arthropoda,NA,NA,NA,NA,aquatic
triehoptera larvae,larvae,Animalia,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
Tricorythodes,unknown,Metazoa,Insecta,Ephemeroptera,Leptohyphidae,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
tricoptera larvae,larvae,Animalia,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
tricoptera,unknown,Animalia,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
trichopterus,unknown,Animalia,Insecta,Trichoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
trichopters,unknown,Animalia,Insecta,Trichoptera,NA,NA,Trichoptera,NA,NA,NA,NA,NA,aquatic
trichopterans,unknown,Animalia,Insecta,Trichoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
Trichopteran,larvae,Animalia,Insecta,Trichoptera,NA,NA,Trichoptera,NA,NA,NA,NA,NA,aquatic or terrestrial
trichoptera_nonadult,adults,Metazoa,Insecta,Trichoptera,NA,NA,Trichoptera,NA,NA,NA,NA,NA,aquatic or terrestrial
trichoptera_larvae,larvae,Animalia,Insecta,Trichoptera,NA,NA,Trichoptera,NA,NA,NA,NA,NA,aquatic or terrestrial
trichoptera_aquatic,unknown,Metazoa,Insecta,Trichoptera,NA,NA,Trichoptera,NA,NA,NA,NA,NA,aquatic
trichoptera pupae_and_adult,adults/pupae,Animalia,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
trichoptera pupae,pupae,Animalia,Insecta,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
