"","prey_taxon","prey_stage","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin"
"2175","pisidium","unknown","Animalia","Bivalvia","Sphaeriida","Sphaeriidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"2176","other aquatic","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified","aquatic"
"2177","s oligochaeta","unknown","Animalia","Clitellata",NA,NA,NA,NA,"Annelida",NA,"Oligochaeta",NA,NA,"aquatic or terrestrial"
"2178","s isopoda","unknown","Animalia","Malacostraca","Isopoda",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2179","s plecoptera","unknown","Animalia","Insecta","Plecoptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2180","s hemiptera","unknown","Animalia","Insecta","Hemiptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2181","s hymenoptera","unknown","Animalia","Insecta","Hymenoptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2182","s trichoptera","unknown","Animalia","Insecta","Trichoptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2183","s lepidoptera","unknown","Animalia","Insecta","Lepidoptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2184","s diptera","unknown","Animalia","Insecta","Diptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2185","s coleoptera","unknown","Animalia","Insecta","Coleoptera",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2186","s araneida","unknown","Animalia","Arachnida","Araneae",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"2187","s diplopoda","unknown","Animalia","Diplopoda",NA,NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"2188","s mollusca","unknown","Animalia",NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"2189","other surface","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified","aquatic or terrestrial"
"2190","capnia newt","larvae","Animalia","Insecta","Plecoptera","Capniidae","Capnia sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2191","limnephilus larvae","larvae","Animalia","Insecta","Trichoptera","Limnephilidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2192","apatania pupae","pupae","Animalia","Insecta","Trichoptera","Apataniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2193","apatania adult","adults","Animalia","Insecta","Trichoptera","Apataniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2194","pseudodiamesa pupae","pupae","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2195","orthocladius larvae","larvae","Animalia","Insecta","Diptera","Chironomidae","Orthocladius sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2196","orthocladius pupae","pupae","Animalia","Insecta","Diptera","Chironomidae","Orthocladius sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2197","orthocladius adult","adults","Animalia","Insecta","Diptera","Chironomidae","Orthocladius sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2198","gasterosteus","unknown","Animalia","Actinopterygii","Gasterosteiformes","Gasterosteidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"2199","diverse","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified","aquatic or terrestrial"
"2200","diaptomus","unknown","Animalia","Hexanauplia","Calanoida","Diaptomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2201","aptania larvae","larvae","Animalia","Insecta","Trichoptera","Apataniidae","Apatania sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2202","aptania pupae","pupae","Animalia","Insecta","Trichoptera","Apataniidae","Apatania sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2203","pseudodiamesa larvae","larvae","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2204","eukiefferiel pupae","pupae","Animalia","Insecta","Diptera","Chironomidae","Eukiefferiella sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2205","salarvaevelinus","larvae","Animalia","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus sp.",NA,"Chordata","Osteichthyes",NA,NA,NA,"aquatic"
"2206","apatania larvae","larvae","Animalia","Insecta","Trichoptera","Apataniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2207","heterotr cladius_larvae","larvae","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2208","salvelinus","unknown","Animalia","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus sp.",NA,"Chordata","Osteichthyes",NA,NA,NA,"aquatic"
"2209","orthocladius pupae_33","pupae","Animalia","Insecta","Diptera","Chironomidae","Orthocladius sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2210","orthocladius pupae_34","pupae","Animalia","Insecta","Diptera","Chironomidae","Orthocladius sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2211","salyelinus","unknown","Animalia","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus sp.",NA,"Chordata","Osteichthyes",NA,NA,NA,"aquatic"
"2212","unident insects","unknown","Animalia","Insecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"2213","small fsh","unknown","Animalia",NA,NA,NA,NA,NA,"Chordata","Osteichthyes",NA,NA,NA,"aquatic"
"2214","fins","unknown","Animalia",NA,NA,NA,NA,NA,"Chordata","Osteichthyes",NA,NA,NA,"aquatic"
"2215","cyclotella","unknown","Chromista","Bacillariophyceae","Thalassiosirales","Stephanodiscaceae",NA,NA,"Ochrophyta",NA,NA,NA,NA,"aquatic"
"2216","synedra","unknown","Chromista","Bacillariophyceae","Fragilariales","Fragilariaceae",NA,NA,"Ochrophyta",NA,NA,NA,NA,"aquatic"
"2217","coelospharium","unknown","Bacteria","Cyanophyceae","Chroococcales","Chroococcaceae",NA,NA,"Cyanobacteria",NA,NA,NA,NA,"aquatic"
"2218","colonial algae","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"2219","higher plant_parts","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"2220","notholca","unknown","Animalia","Eurotatoria","Ploima","Brachionidae",NA,NA,"Rotifera",NA,NA,NA,NA,"aquatic"
"2221","crustacean appendages","unknown","Animalia",NA,NA,NA,NA,NA,"Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"2222","crayfish prawn","unknown","Animalia","Malacostraca","Decapoda",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"2223","cladocera daphnia","unknown","Animalia","Branchiopoda","Diplostraca",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"2224","nematode","unknown","Animalia",NA,NA,NA,NA,NA,"Nematoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2225","tilapia sp_fry","juvenile","Animalia","Actinopterygii","Perciformes","Cichlidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"2226","h bebe_occidentalis_fry","juvenile","Animalia","Actinopterygii","Osteoglossiformes","Mormyridae","Hyperopisus knoepffleri",NA,"Chordata","Osteichthyes",NA,NA,NA,"aquatic"
"2227","oreochromis niloticus_fry","juvenile","Animalia","Actinopterygii","Perciformes","Cichlidae","Oreochromis niloticus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"2228","catfish fry","juvenile","Animalia","Actinopterygii","Siluriformes",NA,NA,NA,NA,"Osteichthyes",NA,NA,NA,"aquatic"
"2229","fish larvae","larvae","Animalia",NA,NA,NA,NA,NA,NA,"Osteichthyes",NA,NA,NA,"aquatic"
"2230","sand particle","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","aquatic or terrestrial"
"2231","unidentified material","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unidentified","aquatic or terrestrial"
